~~~~  sas 2017-10-16  ~~~~
Generated on 2018-08-02 13:21:44
Time elapsed: 115.19 s
-1: velocity var 36363.59      width var 7099.50
    velocity mean 51.99      width mean 33.55
1: velocity var 31.97      width var 114.18
    velocity mean 9.24      width mean 14.29
5: velocity var 16.97      width var 396.77
    velocity mean 7.80      width mean 14.65
8: velocity var 30.90      width var 440.89
    velocity mean 6.29      width mean 22.09
9: velocity var 105.42      width var 1113.65
    velocity mean 19.02      width mean 25.52
10: velocity var 47.69      width var 39.17
    velocity mean 8.24      width mean 6.66
11: velocity var 129516.07      width var 1788.23
    velocity mean 218.45      width mean 41.15
12: velocity var 23.76      width var 55.19
    velocity mean 11.85      width mean 12.40
13: velocity var 49024.32      width var 132.59
    velocity mean 118.62      width mean 17.35
15: velocity var 4.59      width var 81.70
    velocity mean 3.21      width mean 10.68
16: velocity var 80.99      width var 19.68
    velocity mean 11.22      width mean 7.43
17: velocity var 82.31      width var 33.94
    velocity mean 26.30      width mean 6.63
18: velocity var 17.84      width var 102.29
    velocity mean 7.20      width mean 15.46
19: velocity var 71.65      width var 46.40
    velocity mean 12.05      width mean 6.56
20: velocity var 24.33      width var 325.13
    velocity mean 8.33      width mean 22.20
21: velocity var 40.54      width var 50.75
    velocity mean 14.42      width mean 10.85
22: velocity var 4.70      width var 105.92
    velocity mean 7.17      width mean 12.53
23: velocity var 22.88      width var 139.93
    velocity mean 8.77      width mean 15.45
24: velocity var 22.63      width var 4.83
    velocity mean 10.73      width mean 4.50
25: velocity var 11010.90      width var 3737.27
    velocity mean 245.88      width mean 145.31
26: velocity var 70.09      width var 22.19
    velocity mean 17.93      width mean 5.11
27: velocity var 47.27      width var 50.26
    velocity mean 9.78      width mean 10.61
28: velocity var 7020.11      width var 5994.36
    velocity mean 133.72      width mean 141.14
29: velocity var 132.74      width var 34.71
    velocity mean 24.74      width mean 8.88
30: velocity var 127.71      width var 38.67
    velocity mean 12.28      width mean 8.30
31: velocity var 11271.87      width var 2823.62
    velocity mean 106.33      width mean 117.50
32: velocity var 110.72      width var 7.79
    velocity mean 25.70      width mean 9.46
34: velocity var 38.45      width var 22.34
    velocity mean 11.56      width mean 8.15
35: velocity var 16.23      width var 83.54
    velocity mean 6.18      width mean 7.83
36: velocity var 99.13      width var 137.52
    velocity mean 11.76      width mean 11.15
37: velocity var 63.28      width var 75.21
    velocity mean 20.24      width mean 7.34
38: velocity var 25.66      width var 26.78
    velocity mean 14.34      width mean 8.01
39: velocity var 253.35      width var 17.04
    velocity mean 11.41      width mean 8.25
40: velocity var 62.85      width var 200.16
    velocity mean 11.34      width mean 24.91
42: velocity var 17.59      width var 67.09
    velocity mean 8.17      width mean 8.92
43: velocity var 19.68      width var 228.42
    velocity mean 5.66      width mean 15.66
44: velocity var 89.91      width var 25.08
    velocity mean 16.73      width mean 5.89
45: velocity var 11636.06      width var 4751.92
    velocity mean 188.45      width mean 98.25
46: velocity var 352.41      width var 117.24
    velocity mean 21.43      width mean 13.90
47: velocity var 82.02      width var 80.60
    velocity mean 16.65      width mean 13.64
53: velocity var 99.01      width var 60.32
    velocity mean 22.25      width mean 11.34
54: velocity var 172.14      width var 60.99
    velocity mean 28.47      width mean 12.05
55: velocity var 84.75      width var 44.22
    velocity mean 15.19      width mean 9.89
56: velocity var 55.98      width var 49.57
    velocity mean 16.53      width mean 18.74
57: velocity var 107.16      width var 102.26
    velocity mean 14.88      width mean 14.65
58: velocity var 339.02      width var 21.53
    velocity mean 41.83      width mean 9.04
59: velocity var 115.98      width var 184.01
    velocity mean 29.21      width mean 12.06
60: velocity var 10.04      width var 50.40
    velocity mean 7.62      width mean 6.69
61: velocity var 23.54      width var 47.79
    velocity mean 6.77      width mean 13.39
63: velocity var 0.86      width var 4.25
    velocity mean 4.37      width mean 3.80
64: velocity var 171.71      width var 171.94
    velocity mean 18.29      width mean 17.35
66: velocity var 100.31      width var 128.37
    velocity mean 44.31      width mean 11.98
67: velocity var 32.36      width var 985.09
    velocity mean 60.75      width mean 68.44
68: velocity var 75.65      width var 42.27
    velocity mean 16.62      width mean 9.99
69: velocity var 135.38      width var 43.77
    velocity mean 29.47      width mean 6.63
70: velocity var 2232.12      width var 1236.85
    velocity mean 56.02      width mean 61.61
71: velocity var 81.64      width var 95.09
    velocity mean 19.01      width mean 9.31
72: velocity var 85.04      width var 17.94
    velocity mean 12.69      width mean 8.11
73: velocity var 118.29      width var 35.08
    velocity mean 16.17      width mean 11.55
74: velocity var 15.24      width var 28.38
    velocity mean 32.26      width mean 10.45
75: velocity var 19.43      width var 11.45
    velocity mean 34.55      width mean 6.53
76: velocity var 79.55      width var 129.96
    velocity mean 13.71      width mean 18.76
77: velocity var 49877.69      width var 59532.85
    velocity mean 130.21      width mean 135.34
78: velocity var 238.14      width var 123.05
    velocity mean 18.97      width mean 11.79
79: velocity var 417.15      width var 654.69
    velocity mean 28.36      width mean 20.20
80: velocity var 91.56      width var 151.49
    velocity mean 22.89      width mean 11.37
81: velocity var 129.73      width var 126.51
    velocity mean 14.73      width mean 10.29
82: velocity var 2690.89      width var 2445.53
    velocity mean 256.30      width mean 139.68
84: velocity var 14.04      width var 327.14
    velocity mean 13.35      width mean 23.13
85: velocity var 138.97      width var 12.11
    velocity mean 27.09      width mean 4.26
86: velocity var 7167.67      width var 5346.88
    velocity mean 201.67      width mean 167.75
87: velocity var 81.16      width var 34.24
    velocity mean 13.52      width mean 8.94
88: velocity var 254.98      width var 658.46
    velocity mean 21.91      width mean 20.69
90: velocity var 4562.28      width var 2685.22
    velocity mean 135.65      width mean 99.08
91: velocity var 82.57      width var 69.33
    velocity mean 16.19      width mean 9.06
92: velocity var 2439.35      width var 2505.05
    velocity mean 98.99      width mean 176.69
93: velocity var 114.02      width var 206.13
    velocity mean 13.63      width mean 15.98
94: velocity var 6430.38      width var 9697.43
    velocity mean 143.90      width mean 158.17
95: velocity var 22.72      width var 9.04
    velocity mean 10.84      width mean 4.10
96: velocity var 266392.59      width var 1383.51
    velocity mean 144.47      width mean 27.00
97: velocity var 94.95      width var 26.87
    velocity mean 22.07      width mean 7.13
99: velocity var 33.52      width var 999.34
    velocity mean 12.61      width mean 39.24
100: velocity var 27.37      width var 851.93
    velocity mean 10.99      width mean 26.48
102: velocity var 576.17      width var 89.00
    velocity mean 26.57      width mean 11.24
103: velocity var 101.43      width var 215.74
    velocity mean 15.62      width mean 17.25
104: velocity var 29.22      width var 75.30
    velocity mean 15.14      width mean 16.74
106: velocity var 121.73      width var 11.75
    velocity mean 9.77      width mean 13.39
107: velocity var 291.81      width var 1055.00
    velocity mean 26.11      width mean 39.94
109: velocity var 83.81      width var 195.61
    velocity mean 16.92      width mean 16.29
110: velocity var 49.31      width var 46.05
    velocity mean 14.46      width mean 10.75
112: velocity var 83.52      width var 79.07
    velocity mean 12.96      width mean 11.52
113: velocity var 100.96      width var 1881.28
    velocity mean 23.93      width mean 42.35
114: velocity var 133.98      width var 146.00
    velocity mean 21.93      width mean 15.38
115: velocity var 384.16      width var 51.95
    velocity mean 23.86      width mean 11.38
117: velocity var 5878.84      width var 7711.46
    velocity mean 107.29      width mean 130.93
118: velocity var 623.57      width var 998.09
    velocity mean 34.25      width mean 46.74
119: velocity var 126.41      width var 427.12
    velocity mean 15.68      width mean 15.97
120: velocity var 75.04      width var 87.85
    velocity mean 27.68      width mean 16.28
123: velocity var 149.22      width var 234.31
    velocity mean 14.48      width mean 15.83
124: velocity var 173.27      width var 602.94
    velocity mean 18.43      width mean 21.64
125: velocity var 9.59      width var 48.45
    velocity mean 13.27      width mean 7.57
126: velocity var 502.33      width var 126.17
    velocity mean 17.03      width mean 8.83
127: velocity var 601.84      width var 268.23
    velocity mean 23.71      width mean 18.62
128: velocity var 191.94      width var 328.59
    velocity mean 27.53      width mean 21.20
129: velocity var 163.75      width var 1495.47
    velocity mean 13.28      width mean 19.55
130: velocity var 1331.30      width var 1303.84
    velocity mean 39.33      width mean 53.61
131: velocity var 101.71      width var 458.34
    velocity mean 14.84      width mean 19.09
132: velocity var 1669.26      width var 2903.01
    velocity mean 69.39      width mean 78.82
133: velocity var 239.32      width var 860.60
    velocity mean 15.41      width mean 19.78
134: velocity var 338983.77      width var 4913.79
    velocity mean 188.99      width mean 37.53
135: velocity var 112.82      width var 337.74
    velocity mean 19.69      width mean 13.53
137: velocity var 114.16      width var 4009.13
    velocity mean 20.36      width mean 41.85
138: velocity var 629.47      width var 220.77
    velocity mean 41.26      width mean 35.17
139: velocity var 55.23      width var 183.79
    velocity mean 11.10      width mean 19.34
140: velocity var 130.25      width var 247.90
    velocity mean 19.62      width mean 17.78
142: velocity var 40.55      width var 21.40
    velocity mean 23.46      width mean 13.20
143: velocity var 367.41      width var 716.53
    velocity mean 26.46      width mean 52.34
144: velocity var 147.74      width var 285.17
    velocity mean 12.59      width mean 21.57
145: velocity var 35726.58      width var 2722.54
    velocity mean 25.71      width mean 20.91
147: velocity var 664.86      width var 1381.73
    velocity mean 41.67      width mean 64.48
148: velocity var 134.47      width var 264.91
    velocity mean 14.29      width mean 15.89
149: velocity var 114.86      width var 802.19
    velocity mean 16.20      width mean 15.25
152: velocity var 82.32      width var 91818.44
    velocity mean 11.34      width mean 89.12
153: velocity var 10.44      width var 4.09
    velocity mean 10.19      width mean 4.76
156: velocity var 51.28      width var 228.84
    velocity mean 7.34      width mean 14.12
157: velocity var 10.60      width var 91.97
    velocity mean 4.67      width mean 8.89
158: velocity var 32.83      width var 61.82
    velocity mean 20.82      width mean 5.19
159: velocity var 96.73      width var 868.29
    velocity mean 17.94      width mean 33.30
160: velocity var 52.01      width var 54.25
    velocity mean 4.53      width mean 8.05
161: velocity var 63.15      width var 278.61
    velocity mean 7.75      width mean 14.29
162: velocity var 217.90      width var 58.30
    velocity mean 19.21      width mean 12.70
163: velocity var 86.45      width var 1545.45
    velocity mean 13.24      width mean 17.78
164: velocity var 1147.19      width var 863.18
    velocity mean 55.15      width mean 74.04
165: velocity var 181.37      width var 19.64
    velocity mean 89.00      width mean 5.87
166: velocity var 153.97      width var 1043.98
    velocity mean 39.00      width mean 44.34
167: velocity var 210.10      width var 753.37
    velocity mean 89.65      width mean 17.24
168: velocity var 15.19      width var 483.58
    velocity mean 13.24      width mean 16.35
169: velocity var 19.33      width var 72.87
    velocity mean 6.28      width mean 6.31
170: velocity var 615.26      width var 241.47
    velocity mean 141.93      width mean 22.31
171: velocity var 43.04      width var 250.80
    velocity mean 10.65      width mean 26.10
173: velocity var 7762.16      width var 2446.74
    velocity mean 185.24      width mean 72.20
174: velocity var 999.63      width var 106.36
    velocity mean 27.03      width mean 9.55
175: velocity var 68.37      width var 64.64
    velocity mean 12.98      width mean 10.30
176: velocity var 123.32      width var 508.59
    velocity mean 12.45      width mean 17.63
177: velocity var 45.60      width var 19.17
    velocity mean 21.92      width mean 14.75
178: velocity var 93.51      width var 107.00
    velocity mean 11.49      width mean 12.99
179: velocity var 92788.32      width var 6969.62
    velocity mean 421.04      width mean 200.75
180: velocity var 0.25      width var 47.64
    velocity mean 3.90      width mean 7.94
181: velocity var 122.10      width var 33.52
    velocity mean 20.37      width mean 9.72
182: velocity var 19.80      width var 83.71
    velocity mean 10.66      width mean 13.96
184: velocity var 60.94      width var 66.92
    velocity mean 28.20      width mean 8.12
185: velocity var 931.33      width var 461.86
    velocity mean 38.68      width mean 38.91
187: velocity var 10.69      width var 14.98
    velocity mean 8.24      width mean 5.23
188: velocity var 1515.78      width var 139.30
    velocity mean 9.03      width mean 10.30
190: velocity var 67.29      width var 84.66
    velocity mean 10.55      width mean 12.05
191: velocity var 35.98      width var 20.84
    velocity mean 7.90      width mean 5.45
192: velocity var 8409.11      width var 2667.47
    velocity mean 100.56      width mean 80.62
194: velocity var 312.91      width var 508.41
    velocity mean 19.19      width mean 23.50
195: velocity var 4.81      width var 839.29
    velocity mean 7.30      width mean 42.76
196: velocity var 1154.37      width var 839.10
    velocity mean 31.50      width mean 35.96
197: velocity var 156.84      width var 2499.59
    velocity mean 6.15      width mean 40.60
198: velocity var 364.96      width var 540.82
    velocity mean 18.71      width mean 25.68
199: velocity var 96.81      width var 233.12
    velocity mean 11.92      width mean 14.26
200: velocity var 13.58      width var 68.63
    velocity mean 6.74      width mean 20.61
202: velocity var 456.07      width var 300.93
    velocity mean 22.95      width mean 20.22
203: velocity var 47.49      width var 318.53
    velocity mean 11.83      width mean 19.09
205: velocity var 6.99      width var 309.24
    velocity mean 5.12      width mean 16.79
206: velocity var 928.97      width var 2037.68
    velocity mean 70.95      width mean 61.92
207: velocity var 2464.33      width var 571.76
