~~~~  sas 2017-10-16  ~~~~
Generated on 2018-08-02 14:13:55
0: velocity var 106.83      width var 97.58
    velocity mean 12.44      width mean 13.03
1: velocity var 105280.45      width var 3552.02
    velocity mean 605.94      width mean 73.52
2: velocity var 22566.69      width var 697.51
    velocity mean 739.61      width mean 29.95
3: velocity var 353152.81      width var 12382.61
    velocity mean 567.28      width mean 176.06
4: velocity var 811.70      width var 431.37
    velocity mean 42.80      width mean 34.15
5: velocity var 105730.48      width var 6600.07
    velocity mean 2204.42      width mean 117.01
6: velocity var 6520.16      width var 2282.68
    velocity mean 414.02      width mean 70.10
7: velocity var 1075.84      width var 1721.18
    velocity mean 43.01      width mean 85.65
8: velocity var 5929.25      width var 702.66
    velocity mean 90.82      width mean 43.74
9: velocity var 7090.07      width var 5184.60
    velocity mean 116.34      width mean 134.50
10: velocity var 163.10      width var 3841.92
    velocity mean 15.24      width mean 92.45
11: velocity var 8.62      width var 17.20
    velocity mean 3.87      width mean 5.19
12: velocity var 48973.19      width var 4152.15
    velocity mean 467.51      width mean 126.13
13: velocity var 108730.94      width var 139345.82
    velocity mean 4373.86      width mean 284.39
14: velocity var 2214.63      width var 1053.21
    velocity mean 70.67      width mean 35.58
15: velocity var 264748.08      width var 3194.25
    velocity mean 4109.44      width mean 76.11
16: velocity var 0.00      width var 0.00
    velocity mean 145.94      width mean 5518.55
17: velocity var 505.85      width var 1147.59
    velocity mean 27.92      width mean 44.67
18: velocity var 36.91      width var 234.30
    velocity mean 7.93      width mean 23.67
19: velocity var 192.14      width var 67.07
    velocity mean 17.93      width mean 10.17
20: velocity var 9755.67      width var 4716.42
    velocity mean 142.64      width mean 135.82
21: velocity var 313.56      width var 288.15
    velocity mean 19.44      width mean 20.17
22: velocity var 2248.94      width var 33832.55
    velocity mean 1299.48      width mean 174.38
23: velocity var 19.27      width var 76.82
    velocity mean 6.37      width mean 9.27
24: velocity var 20.41      width var 72.16
    velocity mean 5.79      width mean 9.23
25: velocity var 754.57      width var 2107.69
    velocity mean 36.19      width mean 55.28
26: velocity var 83903.35      width var 154349.32
    velocity mean 239.98      width mean 438.74
27: velocity var 7166.86      width var 2019.99
    velocity mean 90.45      width mean 83.38
28: velocity var 22.35      width var 110.78
    velocity mean 7.27      width mean 9.44
29: velocity var 31804.97      width var 3833.96
    velocity mean 1730.48      width mean 60.81
~~~~  sas 2018-02-07  ~~~~
Generated on 2018-08-02 14:18:38
0: velocity var 24.76      width var 139.82
    velocity mean 6.40      width mean 19.21
1: velocity var 65536.21      width var 26529.89
    velocity mean 3546.11      width mean 98.60
2: velocity var 4722.61      width var 8074.85
    velocity mean 75.45      width mean 144.79
3: velocity var 357034.83      width var 5112.80
    velocity mean 628.62      width mean 75.64
4: velocity var 421.58      width var 217.77
    velocity mean 26.34      width mean 20.17
5: velocity var 9823.07      width var 3531.61
    velocity mean 116.13      width mean 122.28
6: velocity var 4528.07      width var 5733.18
    velocity mean 4627.69      width mean 54.61
7: velocity var 438.62      width var 465.56
    velocity mean 27.96      width mean 30.48
8: velocity var 1311698.31      width var 1021335.87
    velocity mean 986.98      width mean 7017.27
9: velocity var 58.01      width var 403.70
    velocity mean 9.12      width mean 20.89
10: velocity var 724.76      width var 267.08
    velocity mean 648.21      width mean 19.79
11: velocity var 451425.52      width var 555849.95
    velocity mean 326.63      width mean 3762.01
12: velocity var 80013.11      width var 8362.98
    velocity mean 274.38      width mean 166.01
13: velocity var 4700.36      width var 5138.27
    velocity mean 72.54      width mean 163.00
14: velocity var 212.43      width var 258.86
    velocity mean 18.15      width mean 23.55
15: velocity var 1183.02      width var 1548.01
    velocity mean 45.85      width mean 69.09
16: velocity var 43.70      width var 136.22
    velocity mean 9.86      width mean 13.21
17: velocity var 28517.57      width var 12013.50
    velocity mean 220.26      width mean 219.13
18: velocity var 2478.41      width var 2798.22
    velocity mean 4674.77      width mean 41.15
19: velocity var 19751.94      width var 11751.98
    velocity mean 181.34      width mean 249.00
20: velocity var 77.13      width var 69.51
    velocity mean 11.08      width mean 9.29
21: velocity var 221.95      width var 178.39
    velocity mean 14.86      width mean 15.87
22: velocity var 1084.12      width var 1602.53
    velocity mean 38.88      width mean 51.94
23: velocity var 10402.55      width var 4103.03
    velocity mean 110.27      width mean 115.37
24: velocity var 12539.81      width var 156061.25
    velocity mean 102.53      width mean 550.58
25: velocity var 477.68      width var 168.48
    velocity mean 28.99      width mean 17.58
26: velocity var 5372.05      width var 3917.31
    velocity mean 101.85      width mean 111.06
27: velocity var 6.69      width var 12.50
    velocity mean 3.44      width mean 4.46
28: velocity var 25.53      width var 664.69
    velocity mean 6.20      width mean 33.34
29: velocity var 26219.09      width var 6454.17
    velocity mean 171.57      width mean 139.62
~~~~  sas 2017-05-30  ~~~~
Generated on 2018-08-02 14:24:04
0: velocity var 42.36      width var 274.98
    velocity mean 8.16      width mean 22.48
1: velocity var 6.71      width var 15.80
    velocity mean 3.31      width mean 4.55
2: velocity var 2767.90      width var 272.41
    velocity mean 896.83      width mean 18.46
3: velocity var 3795.85      width var 492.72
    velocity mean 645.38      width mean 27.80
4: velocity var 21286.92      width var 232.69
    velocity mean 4643.81      width mean 12.73
5: velocity var 14409.14      width var 1862.32
    velocity mean 164.15      width mean 59.67
6: velocity var 20698.95      width var 289.84
    velocity mean 4609.46      width mean 15.31
7: velocity var 84176.38      width var 6824.36
    velocity mean 419.27      width mean 128.56
8: velocity var 26.85      width var 231.68
    velocity mean 6.58      width mean 17.16
9: velocity var 43069.26      width var 7084.62
    velocity mean 312.34      width mean 148.67
10: velocity var 86259.91      width var 152108.72
    velocity mean 232.91      width mean 493.21
11: velocity var 25.38      width var 185.96
    velocity mean 5.78      width mean 14.76
12: velocity var 685.26      width var 183.16
    velocity mean 34.20      width mean 13.60
13: velocity var 740.66      width var 1227.08
    velocity mean 29.54      width mean 61.69
14: velocity var 2597.16      width var 245.72
    velocity mean 895.40      width mean 17.93
15: velocity var 137.61      width var 2406.97
    velocity mean 15.03      width mean 71.67
16: velocity var 2796.60      width var 570.88
    velocity mean 655.47      width mean 28.69
17: velocity var 503422.66      width var 6186.80
    velocity mean 778.11      width mean 87.21
18: velocity var 24.22      width var 115.84
    velocity mean 6.20      width mean 10.74
19: velocity var 24972.38      width var 3702.25
    velocity mean 246.41      width mean 95.64
20: velocity var 13280.32      width var 2776.20
    velocity mean 191.82      width mean 4878.49
21: velocity var 19255.06      width var 5319.82
    velocity mean 193.71      width mean 146.84
22: velocity var 20.40      width var 166.91
    velocity mean 5.31      width mean 13.77
23: velocity var 199.13      width var 85.15
    velocity mean 29.24      width mean 13.11
24: velocity var 75126.34      width var 16420.03
    velocity mean 354.58      width mean 181.50
25: velocity var 13284.29      width var 2913.12
    velocity mean 208.56      width mean 82.23
26: velocity var 354.85      width var 732.59
    velocity mean 27.33      width mean 39.61
27: velocity var 697446.28      width var 1504.89
    velocity mean 1099.86      width mean 39.30
28: velocity var 1638.48      width var 3220.29
    velocity mean 49.52      width mean 103.22
29: velocity var 348.19      width var 159.86
    velocity mean 25.45      width mean 18.06
