~~~~  sas 2017-10-16  ~~~~
Generated on 2018-08-02 15:05:16
0: velocity var 1977.43      width var 2393.85
    velocity mean 24.73      width mean 30.59
1: velocity var 56.90      width var 195.65
    velocity mean 3.42      width mean 12.49
2: velocity var 949.63      width var 1311.86
    velocity mean 52.75      width mean 43.69
3: velocity var 245384.24      width var 31978.98
    velocity mean 312.73      width mean 84.60
4: velocity var 1068.21      width var 805.95
    velocity mean 23.81      width mean 25.42
5: velocity var 2140.56      width var 3999.30
    velocity mean 22.04      width mean 28.02
6: velocity var 19670.81      width var 2834.76
    velocity mean 26.43      width mean 18.74
7: velocity var 14.47      width var 205.17
    velocity mean 5.95      width mean 10.11
8: velocity var 32448.34      width var 5545.42
    velocity mean 202.92      width mean 140.82
9: velocity var 208.25      width var 813.15
    velocity mean 15.12      width mean 21.27
10: velocity var 4104.07      width var 3629.06
    velocity mean 56.33      width mean 98.36
11: velocity var 18.43      width var 149.77
    velocity mean 5.43      width mean 9.59
12: velocity var 13907.30      width var 4800.24
    velocity mean 95.18      width mean 102.64
13: velocity var 2473.27      width var 868.00
    velocity mean 16.87      width mean 22.21
14: velocity var 16.10      width var 112.02
    velocity mean 4.25      width mean 8.84
15: velocity var 15094.78      width var 1541.83
    velocity mean 21.80      width mean 16.93
16: velocity var 7549.04      width var 4508.61
    velocity mean 413.47      width mean 72.24
17: velocity var 6450.44      width var 1851.05
    velocity mean 89.51      width mean 63.52
18: velocity var 71.02      width var 534.81
    velocity mean 5.99      width mean 20.11
19: velocity var 368.95      width var 1691.25
    velocity mean 18.68      width mean 20.62
20: velocity var 35.64      width var 315.98
    velocity mean 6.69      width mean 14.64
21: velocity var 30.26      width var 246.50
    velocity mean 7.23      width mean 11.32
22: velocity var 1154.10      width var 1329.65
    velocity mean 16.34      width mean 23.74
23: velocity var 927.56      width var 1567.72
    velocity mean 25.26      width mean 26.68
24: velocity var 63.55      width var 123.24
    velocity mean 4.33      width mean 10.24
25: velocity var 518.09      width var 937.97
    velocity mean 24.24      width mean 19.34
26: velocity var 14.82      width var 94.98
    velocity mean 8.88      width mean 6.57
27: velocity var 23.44      width var 152.33
    velocity mean 6.60      width mean 10.40
28: velocity var 20.56      width var 185.16
    velocity mean 5.77      width mean 10.62
29: velocity var 18.29      width var 350.17
    velocity mean 8.24      width mean 10.22
~~~~  sas 2018-02-07  ~~~~
Generated on 2018-08-02 15:08:53
0: velocity var 912804.00      width var 216545.36
